task_id,domain,k,dimensions,n_dims,k_nn,selector,seed,b_coverage,b_maxsum,b_maxmin,b_novelty,maxsum_stability,redundancy,b_achieved,spread_go,spread_ru,spread_cb,hidden_pref_hits,hidden_pref_draws,hidden_pref_rate,hidden_pref_exact,coverage_by_dimension,n_selected,redundancy_floor,redundancy_excess,n_pool,b_pool,year,q,multiset_stability
1.0-1000-classical-2006-tpp-4,tpp,20,go+ru,2,3,bnovelty,240516610,4,3.0,0.5,0.5,0.0,16,4,1.0,0.0,,31,50,0.62,0.5833333333333334,"go:4/24,ru:1/1",4,0,16,1000,24,2006,1.0,True
1.0-1000-classical-2006-tpp-4,tpp,20,go+ru,2,3,maxsum_stability,240516610,20,74.5,0.25,0.25,0.0,0,20,0.7842105263157895,0.0,,44,50,0.88,0.9166666666666667,"go:20/24,ru:1/1",20,0,0,1000,24,2006,1.0,True
1.0-1000-classical-None-trucks-4,trucks,20,go,1,3,bcoverage,1951623839,20,118.66666666666667,0.3333333333333333,0.34166666666666656,92.98172317134215,0,20,0.624561403508772,,,36,50,0.72,0.6666666666666666,go:20/30,20,0,0,534,30,None,1.0,True
1.0-1000-classical-None-trucks-4,trucks,20,go,1,3,bmaxsum,1951623839,20,127.66666666666667,0.3333333333333333,0.33611111111111097,94.09803971137116,0,20,0.6719298245614035,,,31,50,0.62,0.6666666666666666,go:20/30,20,0,0,534,30,None,1.0,True
1.0-1000-classical-None-trucks-4,trucks,20,go,1,3,bmaxmin,1951623839,2,1.0,1.0,1.0,0.5625,18,2,1.0,,,2,50,0.04,0.06666666666666667,go:2/30,2,0,18,534,30,None,1.0,True
1.0-1000-classical-None-trucks-4,trucks,20,go,1,3,bnovelty,1951623839,2,1.0,1.0,1.0,0.5625,18,2,1.0,,,2,50,0.04,0.06666666666666667,go:2/30,2,0,18,534,30,None,1.0,True
1.0-1000-classical-None-trucks-4,trucks,20,go,1,3,maxsum_stability,1951623839,18,95.0,0.3333333333333333,0.37962962962962954,100.87178117322726,2,18,0.6209150326797386,,,27,50,0.54,0.6,go:18/30,20,0,2,534,30,None,1.0,True
1.0-1000-classical-None-tsp-13,tsp,20,go,1,3,bcoverage,608455527,20,80.19999999999999,0.1,0.24666666666666667,125.0621135808826,0,20,0.42210526315789465,,,0,50,0.0,0.02,go:20/1000,20,0,0,1000,1000,None,1.0,True
1.0-1000-classical-None-tsp-13,tsp,20,go,1,3,bmaxsum,608455527,20,83.25000000000001,0.1,0.26249999999999996,125.11980137233334,0,20,0.4381578947368422,,,2,50,0.04,0.02,go:20/1000,20,0,0,1000,1000,None,1.0,True
1.0-1000-classical-None-tsp-13,tsp,20,go,1,3,bmaxmin,608455527,2,0.7,0.7,0.7,0.75,18,2,0.7,,,0,50,0.0,0.002,go:2/1000,2,0,18,1000,1000,None,1.0,True
1.0-1000-classical-None-tsp-13,tsp,20,go,1,3,bnovelty,608455527,2,0.7,0.7,0.7,0.75,18,2,0.7,,,0,50,0.0,0.002,go:2/1000,2,0,18,1000,1000,None,1.0,True
1.0-1000-classical-None-tsp-13,tsp,20,go,1,3,maxsum_stability,608455527,20,77.35,0.15,0.2683333333333333,129.37928290141855,0,20,0.4071052631578947,,,2,50,0.04,0.02,go:20/1000,20,0,0,1000,1000,None,1.0,True
1.0-1000-classical-2014-visitall-16,visitall,20,go,1,3,bcoverage,1622429557,20,162.12000000000003,0.08,0.6413333333333334,142.48830136970838,0,20,0.8532631578947371,,,4,50,0.08,0.09259259259259259,go:20/216,20,0,0,216,216,2014,1.0,True
1.0-1000-classical-2014-visitall-16,visitall,20,go,1,3,bmaxsum,1622429557,20,172.1999999999998,0.52,0.7533333333333333,97.58702203518921,0,20,0.9063157894736831,,,4,50,0.08,0.09259259259259259,go:20/216,20,0,0,216,216,2014,1.0,True
1.0-1000-classical-2014-visitall-16,visitall,20,go,1,3,bmaxmin,1622429557,4,5.76,0.96,0.96,3.331003678265342,16,4,0.96,,,1,50,0.02,0.018518518518518517,go:4/216,4,0,16,216,216,2014,1.0,True
1.0-1000-classical-2014-visitall-16,visitall,20,go,1,3,bnovelty,1622429557,4,5.76,0.96,0.96,3.331003678265342,16,4,0.96,,,1,50,0.02,0.018518518518518517,go:4/216,4,0,16,216,216,2014,1.0,True
1.0-1000-classical-2014-visitall-16,visitall,20,go,1,3,maxsum_stability,1622429557,20,164.71999999999997,0.36,0.6880000000000001,151.9077336881861,0,20,0.8669473684210525,,,3,50,0.06,0.09259259259259259,go:20/216,20,0,0,216,216,2014,1.0,True
1.0-1000-classical-2008-woodworking-10,woodworking,20,go+ru,2,3,bcoverage,537116571,20,25.714285714285737,0.023809523809523808,0.07023809523809525,3.677419354838709,0,20,0.27067669172932357,0.0,,25,50,0.5,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2008,1.0,True
1.0-1000-classical-2008-woodworking-10,woodworking,20,go+ru,2,3,bmaxsum,537116571,20,28.047619047619087,0.023809523809523808,0.08313492063492062,3.677419354838709,0,20,0.29523809523809563,0.0,,25,50,0.5,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2008,1.0,True
1.0-1000-classical-2008-woodworking-10,woodworking,20,go+ru,2,3,bmaxmin,537116571,2,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.19354838709677424,18,2,0.8095238095238095,0.0,,25,50,0.5,0.501,"go:2/1000,ru:1/1",2,0,18,1000,1000,2008,1.0,True
1.0-1000-classical-2008-woodworking-10,woodworking,20,go+ru,2,3,bnovelty,537116571,2,0.40476190476190477,0.40476190476190477,0.40476190476190477,0.19354838709677424,18,2,0.8095238095238095,0.0,,25,50,0.5,0.501,"go:2/1000,ru:1/1",2,0,18,1000,1000,2008,1.0,True
1.0-1000-classical-2008-woodworking-10,woodworking,20,go+ru,2,3,maxsum_stability,537116571,20,25.714285714285744,0.023809523809523808,0.07023809523809525,3.677419354838709,0,20,0.2706766917293236,0.0,,25,50,0.5,0.51,"go:20/1000,ru:1/1",20,0,0,1000,1000,2008,1.0,True
1.0-1000-classical-2000-elevators-100,elevators,20,go,1,3,bcoverage,1369407389,20,111.99999999999994,0.07407407407407407,0.341358024691358,61.12897748401085,0,20,0.589473684210526,,,8,50,0.16,0.1282051282051282,go:20/156,20,0,0,1000,156,2000,1.0,True
