task_id,domain,k,selector_i,selector_j,jaccard,overlap_jaccard_plans,seed
1.0-1000-classical-2008-pegsol-12,pegsol,20,maxsum_stability,bmaxsum,0.05555555555555555,0.05263157894736842,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,maxsum_stability,bmaxmin,0.05,0.045454545454545456,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,maxsum_stability,bnovelty,0.05,0.045454545454545456,1782990122
1.0-1000-classical-2008-pegsol-12,pegsol,20,maxsum_stability,maxsum_stability,1.0,1.0,1782990122
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bcoverage,bcoverage,1.0,1.0,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bcoverage,bmaxsum,0.48148148148148145,0.48148148148148145,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bcoverage,bmaxmin,0.047619047619047616,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bcoverage,bnovelty,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bcoverage,maxsum_stability,0.56,0.1111111111111111,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxsum,bcoverage,0.48148148148148145,0.48148148148148145,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxsum,bmaxsum,1.0,1.0,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxsum,bmaxmin,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxsum,bnovelty,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxsum,maxsum_stability,0.3448275862068966,0.1111111111111111,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxmin,bcoverage,0.047619047619047616,0.047619047619047616,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxmin,bmaxsum,0.1,0.1,2065366244
1.0-1000-classical-2004-pipesworld-notankage-8,pipesworld-notankage,20,bmaxmin,bmaxmin,1.0,1.0,2065366244
